"","coordinatorCountry","countryName","coordinator","totalCost","latitude","longitude"
"1","AI","Anguilla","OFFSHORE NAVIGATION LIMITED","71429",18.21667,-63.05
"2","AM","Armenia","SMALL AND MEDIUM ENTREPRENEURSHIP DEVELOPMENT NATIONAL CENTER OF ARMENIA FUND","15927.5",40,45
"3","AM","Armenia","SMALL AND MEDIUM ENTREPRENEURSHIP DEVELOPMENT NATIONAL CENTER OF ARMENIA FUND","9352.5",40,45
"4","AT","Austria","ZENTRUM FUR SOZIALE INNOVATION GMBH","2511450",47.33333,13.33333
"5","AT","Austria","ERSO TECHNOLOGY GMBH","71429",47.33333,13.33333
"6","AT","Austria","AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH","8381952.5",47.33333,13.33333
"7","AT","Austria","OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN","178156.8",47.33333,13.33333
"8","AT","Austria","Sign time GmbH","1563372.5",47.33333,13.33333
"9","AT","Austria","JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH","7688539.33",47.33333,13.33333
"10","AT","Austria","UNIVERSITAT WIEN","243208.8",47.33333,13.33333
"11","AT","Austria","UNIVERSITAET KLAGENFURT","2711052.5",47.33333,13.33333
"12","AT","Austria","MEDIZINISCHE UNIVERSITAET WIEN","166156.8",47.33333,13.33333
"13","AT","Austria","UNIVERSITAET FUER BODENKULTUR WIEN","1107375",47.33333,13.33333
"14","AT","Austria","Institute of Science and Technology Austria","149830",47.33333,13.33333
"15","AT","Austria","TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH","5616543.75",47.33333,13.33333
"16","AT","Austria","SYNYO GmbH","1492370",47.33333,13.33333
"17","AT","Austria","Institute of Science and Technology Austria","1500000",47.33333,13.33333
"18","AT","Austria","OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN","166156.8",47.33333,13.33333
"19","AT","Austria","Institute of Science and Technology Austria","1499119",47.33333,13.33333
"20","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","1500000",47.33333,13.33333
"21","AT","Austria","RIKA INNOVATIVE OFENTECHNIK GMBH","1691400",47.33333,13.33333
"22","AT","Austria","OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN","2496525",47.33333,13.33333
"23","AT","Austria","PARIS-LODRON-UNIVERSITAT SALZBURG","1327016.25",47.33333,13.33333
"24","AT","Austria","OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN","1499556",47.33333,13.33333
"25","AT","Austria","AVL LIST GMBH","4.118315875E7",47.33333,13.33333
"26","AT","Austria","INSTITUT FUER MOLEKULARE BIOTECHNOLOGIE GMBH","1999530",47.33333,13.33333
"27","AT","Austria","VILLINGER GMBH","985000",47.33333,13.33333
"28","AT","Austria","FRAUSCHER SENSORTECHNIK GMBH","71429",47.33333,13.33333
"29","AT","Austria","TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH","4868890",47.33333,13.33333
"30","AT","Austria","SCHIEBEL ELEKTRONISCHE GERAETE GMBH","71429",47.33333,13.33333
"31","AT","Austria","ZENTRUM FUR SOZIALE INNOVATION GMBH","2249262.5",47.33333,13.33333
"32","AT","Austria","VETERINAERMEDIZINISCHE UNIVERSITAET WIEN","178156.8",47.33333,13.33333
"33","AT","Austria","TAMIRNA GMBH","71429",47.33333,13.33333
"34","AT","Austria","THE ANTIBODY LAB GMBH","71429",47.33333,13.33333
"35","AT","Austria","AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH","6396305",47.33333,13.33333
"36","AT","Austria","FORSCHUNGSINSTITUT FUR MOLEKULARE PATHOLOGIE GESELLSCHAFT MBH","2500000",47.33333,13.33333
"37","AT","Austria","UNIVERSITAET INNSBRUCK","1449000",47.33333,13.33333
"38","AT","Austria","E7 ENERGIE MARKT ANALYSE","1603718.75",47.33333,13.33333
"39","AT","Austria","WIRTSCHAFTSKAMMER OSTERREICH","304461.88",47.33333,13.33333
"40","AT","Austria","AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH","6126698.75",47.33333,13.33333
"41","AT","Austria","CEMM - FORSCHUNGSZENTRUM FUER MOLEKULARE MEDIZIN GMBH","1701011",47.33333,13.33333
"42","AT","Austria","TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH","3891263.75",47.33333,13.33333
"43","AT","Austria","INSTITUT FUER HOEHERE STUDIEN - INSTITUTE FOR ADVANCED STUDIES","1994954.44",47.33333,13.33333
"44","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","1997202.49",47.33333,13.33333
"45","AT","Austria","NEXTSENSE GMBH","71429",47.33333,13.33333
"46","AT","Austria","UNIVERSITAT WIEN","178156.8",47.33333,13.33333
"47","AT","Austria","Institute of Science and Technology Austria","1991564",47.33333,13.33333
"48","AT","Austria","BRI.TECH GMBH","71429",47.33333,13.33333
"49","AT","Austria","OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN","178156.8",47.33333,13.33333
"50","AT","Austria","UNIVERSITAET INNSBRUCK","166156.8",47.33333,13.33333
"51","AT","Austria","UNIVERSITAT WIEN","166156.8",47.33333,13.33333
"52","AT","Austria","UNIVERSITAET INNSBRUCK","2767565",47.33333,13.33333
"53","AT","Austria","MONTANUNIVERSITAT LEOBEN","1373637.5",47.33333,13.33333
"54","AT","Austria","UNIVERSITAT WIEN","2155285",47.33333,13.33333
"55","AT","Austria","AVL LIST GMBH","9077497.5",47.33333,13.33333
"56","AT","Austria","FORSCHUNGSINSTITUT FUR MOLEKULARE PATHOLOGIE GESELLSCHAFT MBH","178156.8",47.33333,13.33333
"57","AT","Austria","OSTERREICHISCHE ENERGIEAGENTUR AUSTRIAN ENERGY AGENCY","1540713.75",47.33333,13.33333
"58","AT","Austria","Institute of Science and Technology Austria","8789760",47.33333,13.33333
"59","AT","Austria","UNIVERSITAT WIEN","166156.8",47.33333,13.33333
"60","AT","Austria","UNIVERSITAET GRAZ","178156.8",47.33333,13.33333
"61","AT","Austria","Institute of Science and Technology Austria","178156.8",47.33333,13.33333
"62","AT","Austria","INSTITUT FUER HOEHERE STUDIEN - INSTITUTE FOR ADVANCED STUDIES","166156.8",47.33333,13.33333
"63","AT","Austria","UNIVERSITAT WIEN","178156.8",47.33333,13.33333
"64","AT","Austria","FORSCHUNGSINSTITUT FUR MOLEKULARE PATHOLOGIE GESELLSCHAFT MBH","2325659",47.33333,13.33333
"65","AT","Austria","UNIVERSITAET INNSBRUCK","8220716.01",47.33333,13.33333
"66","AT","Austria","UNIVERSITAT WIEN","166156.8",47.33333,13.33333
"67","AT","Austria","TECHNISCHE UNIVERSITAET GRAZ","1473525",47.33333,13.33333
"68","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","149850",47.33333,13.33333
"69","AT","Austria","FORSCHUNGSINSTITUT FUR MOLEKULARE PATHOLOGIE GESELLSCHAFT MBH","2499299",47.33333,13.33333
"70","AT","Austria","EQUALIZENT SCHULUNGS UND BERATUNGS GMBH","71429",47.33333,13.33333
"71","AT","Austria","OSTERREICHISCHE ENERGIEAGENTUR AUSTRIAN ENERGY AGENCY","1997987.5",47.33333,13.33333
"72","AT","Austria","GREGOR-MENDEL-INSTITUT FÜR MOLEKULARE PFLANZENBIOLOGIE GMBH","1499988.99",47.33333,13.33333
"73","AT","Austria","VETERINAERMEDIZINISCHE UNIVERSITAET WIEN","2497520",47.33333,13.33333
"74","AT","Austria","UNIVERSITAT WIEN","166156.8",47.33333,13.33333
"75","AT","Austria","AEE - INSTITUT FUR NACHHALTIGE TECHNOLOGIEN","1995250",47.33333,13.33333
"76","AT","Austria","MEDIZINISCHE UNIVERSITAET WIEN","6469522.5",47.33333,13.33333
"77","AT","Austria","UNIVERSITAET INNSBRUCK","1496664.3",47.33333,13.33333
"78","AT","Austria","GREENETICA GMBH","71429",47.33333,13.33333
"79","AT","Austria","SALZBURG RESEARCH FORSCHUNGSGESELLSCHAFT M.B.H.","7994750",47.33333,13.33333
"80","AT","Austria","PAYBON GMBH","71429",47.33333,13.33333
"81","AT","Austria","BUNDESMINISTERIUM FUER VERKEHR, INNOVATION UND TECHNOLOGIE","37622856",47.33333,13.33333
"82","AT","Austria","UNIVERSITAT WIEN","1257973",47.33333,13.33333
"83","AT","Austria","UNIVERSITAT LINZ","1499975",47.33333,13.33333
"84","AT","Austria","MEDIZINISCHE UNIVERSITAET WIEN","166156.8",47.33333,13.33333
"85","AT","Austria","MOBILITY SERVICES HUB MSH GMBH","71429",47.33333,13.33333
"86","AT","Austria","RE-COMPOSE GMBH","99937.5",47.33333,13.33333
"87","AT","Austria","EUTEMA GMBH","492937.5",47.33333,13.33333
"88","AT","Austria","TECHNISCHE UNIVERSITAET GRAZ","2463975",47.33333,13.33333
"89","AT","Austria","TECHNISCHE UNIVERSITAET WIEN","178156.8",47.33333,13.33333
