document;term;count;rank;Title
1;era;0,11972885;1; Biomarkers for nutrition and health 
1;diet;0,085011618;2; Biomarkers for nutrition and health 
1;nutrition;0,068598208;3; Biomarkers for nutrition and health 
1;net;0,062180102;4; Biomarkers for nutrition and health 
1;healthy;0,059864425;5; Biomarkers for nutrition and health 
1;biomarkers;0,044258345;6; Biomarkers for nutrition and health 
1;funding;0,043029513;7; Biomarkers for nutrition and health 
1;implemented;0,040916606;8; Biomarkers for nutrition and health 
1;diseases;0,037058919;9; Biomarkers for nutrition and health 
1;health;0,032972732;10; Biomarkers for nutrition and health 
10;network;0,036102395;1;5G PPP Convergent Technologies
10;cloud;0,0216598;2;5G PPP Convergent Technologies
10;media;0,020026174;3;5G PPP Convergent Technologies
10;edge;0,019375606;4;5G PPP Convergent Technologies
10;wireless;0,016552572;5;5G PPP Convergent Technologies
10;services;0,016548492;6;5G PPP Convergent Technologies
10;applications;0,016327435;7;5G PPP Convergent Technologies
10;functions;0,015739732;8;5G PPP Convergent Technologies
10;orchestration;0,015041856;9;5G PPP Convergent Technologies
10;optical;0,013772266;10;5G PPP Convergent Technologies
100;big;0,113895133;1;Big data in Transport: Research opportunities, challenges and limitations
100;transport;0,104496924;2;Big data in Transport: Research opportunities, challenges and limitations
100;data;0,061313052;3;Big data in Transport: Research opportunities, challenges and limitations
100;transportation;0,021590205;4;Big data in Transport: Research opportunities, challenges and limitations
100;leveraging;0,021083374;5;Big data in Transport: Research opportunities, challenges and limitations
100;legal;0,020152595;6;Big data in Transport: Research opportunities, challenges and limitations
100;investments;0,02006491;7;Big data in Transport: Research opportunities, challenges and limitations
100;series;0,02006491;8;Big data in Transport: Research opportunities, challenges and limitations
100;studies;0,019877672;9;Big data in Transport: Research opportunities, challenges and limitations
100;manage;0,019557064;10;Big data in Transport: Research opportunities, challenges and limitations
1000;road;0,072466088;1;Transport infrastructure innovation to increase the transport system safety at modal and intermodal level (including nodes and interchanges)
1000;rail;0,036019283;2;Transport infrastructure innovation to increase the transport system safety at modal and intermodal level (including nodes and interchanges)
