,Unnamed: 0,coordinatorCountry,countryName,coordinator,totalCost,latitude,longitude,startDate,endDate,status,uni_lat,uni_lng,city,region,country
0,1,AI,Anguilla,OFFSHORE NAVIGATION LIMITED,71429.0,18.21667,-63.05,2016-08-01,2016-12-31,SIGNED,18.21667,-63.05,Other,Other,Other
1,2,AM,Armenia,SMALL AND MEDIUM ENTREPRENEURSHIP DEVELOPMENT NATIONAL CENTER OF ARMENIA FUND,15927.5,40.0,45.0,2017-01-01,2018-12-31,SIGNED,40.069099,45.038189,Other,Other,Other
2,3,AM,Armenia,SMALL AND MEDIUM ENTREPRENEURSHIP DEVELOPMENT NATIONAL CENTER OF ARMENIA FUND,9352.5,40.0,45.0,2016-01-01,2016-12-31,SIGNED,40.069099,45.038189,Other,Other,Other
3,4,AT,Austria,ZENTRUM FUR SOZIALE INNOVATION GMBH,2511450.0,47.33333,13.333329999999998,2018-01-01,2020-12-31,SIGNED,47.33333,13.333329999999998,Other,Other,Austria
4,5,AT,Austria,ERSO TECHNOLOGY GMBH,71429.0,47.33333,13.333329999999998,2017-02-01,2017-04-30,SIGNED,47.33333,13.333329999999998,Other,Other,Austria
5,6,AT,Austria,AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH,8381952.5,47.33333,13.333329999999998,2015-02-01,2018-07-31,SIGNED,47.9777244,16.5083475,Other,Niederosterreich,Austria
6,7,AT,Austria,OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN,178156.8,47.33333,13.333329999999998,2018-09-01,2020-08-31,SIGNED,48.2088405,16.3771845,Wien,Wien,Austria
7,8,AT,Austria,Sign time GmbH,1563372.5,47.33333,13.333329999999998,2017-09-01,2019-08-31,SIGNED,48.2174861,16.3693019,Wien,Wien,Austria
8,9,AT,Austria,JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH,7688539.33,47.33333,13.333329999999998,2015-02-01,2019-07-31,SIGNED,47.0739965,15.4549304,Graz,Steiermark,Austria
9,10,AT,Austria,UNIVERSITAT WIEN,243208.8,47.33333,13.333329999999998,2016-06-20,2019-06-19,SIGNED,48.21318549999999,16.3600504,Wien,Wien,Austria
10,11,AT,Austria,UNIVERSITAET KLAGENFURT,2711052.5,47.33333,13.333329999999998,2016-03-01,2019-02-28,SIGNED,46.616079,14.2652899,Other,Karnten,Austria
11,12,AT,Austria,MEDIZINISCHE UNIVERSITAET WIEN,166156.8,47.33333,13.333329999999998,2016-04-01,2018-03-31,TERMINATED,48.2196989,16.3515215,Wien,Wien,Austria
12,13,AT,Austria,UNIVERSITAET FUER BODENKULTUR WIEN,1107375.0,47.33333,13.333329999999998,2015-03-01,2018-05-31,SIGNED,48.2365448,16.337579,Wien,Wien,Austria
