"X","Unnamed..0","coordinatorCountry","countryName","coordinator","totalCost","latitude","longitude","startDate","endDate","status","uni_lat","uni_lng","startYear","startMonth","startDay","endYear","endMonth","endDay"
0,1,"AI","Anguilla","OFFSHORE NAVIGATION LIMITED",71429,18.21667,-63.05,2016-08-01,2016-12-31,"SIGNED",18.21667,-63.05,2016,8,1,2016,12,31
1,2,"AM","Armenia","SMALL AND MEDIUM ENTREPRENEURSHIP DEVELOPMENT NATIONAL CENTER OF ARMENIA FUND",15927.5,40,45,2017-01-01,2018-12-31,"SIGNED",40.069099,45.038189,2017,1,1,2018,12,31
2,3,"AM","Armenia","SMALL AND MEDIUM ENTREPRENEURSHIP DEVELOPMENT NATIONAL CENTER OF ARMENIA FUND",9352.5,40,45,2016-01-01,2016-12-31,"SIGNED",40.069099,45.038189,2016,1,1,2016,12,31
3,4,"AT","Austria","ZENTRUM FUR SOZIALE INNOVATION GMBH",2511450,47.33333,13.33333,2018-01-01,2020-12-31,"SIGNED",47.33333,13.33333,2018,1,1,2020,12,31
4,5,"AT","Austria","ERSO TECHNOLOGY GMBH",71429,47.33333,13.33333,2017-02-01,2017-04-30,"SIGNED",47.33333,13.33333,2017,2,1,2017,4,30
5,6,"AT","Austria","AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH",8381952.5,47.33333,13.33333,2015-02-01,2018-07-31,"SIGNED",47.9777244,16.5083475,2015,2,1,2018,7,31
6,7,"AT","Austria","OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN",178156.8,47.33333,13.33333,2018-09-01,2020-08-31,"SIGNED",48.2088405,16.3771845,2018,9,1,2020,8,31
7,8,"AT","Austria","Sign time GmbH",1563372.5,47.33333,13.33333,2017-09-01,2019-08-31,"SIGNED",48.2174861,16.3693019,2017,9,1,2019,8,31
8,9,"AT","Austria","JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH",7688539.33,47.33333,13.33333,2015-02-01,2019-07-31,"SIGNED",47.0739965,15.4549304,2015,2,1,2019,7,31
9,10,"AT","Austria","UNIVERSITAT WIEN",243208.8,47.33333,13.33333,2016-06-20,2019-06-19,"SIGNED",48.2131855,16.3600504,2016,6,20,2019,6,19
10,11,"AT","Austria","UNIVERSITAET KLAGENFURT",2711052.5,47.33333,13.33333,2016-03-01,2019-02-28,"SIGNED",46.616079,14.2652899,2016,3,1,2019,2,28
11,12,"AT","Austria","MEDIZINISCHE UNIVERSITAET WIEN",166156.8,47.33333,13.33333,2016-04-01,2018-03-31,"TERMINATED",48.2196989,16.3515215,2016,4,1,2018,3,31
12,13,"AT","Austria","UNIVERSITAET FUER BODENKULTUR WIEN",1107375,47.33333,13.33333,2015-03-01,2018-05-31,"SIGNED",48.2365448,16.337579,2015,3,1,2018,5,31
13,14,"AT","Austria","Institute of Science and Technology Austria",149830,47.33333,13.33333,2017-07-01,2018-12-31,"SIGNED",48.309852,16.259696,2017,7,1,2018,12,31
14,15,"AT","Austria","TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH",5616543.75,47.33333,13.33333,2017-01-01,2020-12-31,"SIGNED",46.615451,13.844114,2017,1,1,2020,12,31
15,16,"AT","Austria","SYNYO GmbH",1492370,47.33333,13.33333,2015-09-01,2017-08-31,"SIGNED",47.33333,13.33333,2015,9,1,2017,8,31
16,17,"AT","Austria","Institute of Science and Technology Austria",1500000,47.33333,13.33333,2015-03-01,2020-02-29,"SIGNED",48.309852,16.259696,2015,3,1,2020,2,29
17,18,"AT","Austria","OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN",166156.8,47.33333,13.33333,2015-06-01,2017-05-31,"SIGNED",48.2088405,16.3771845,2015,6,1,2017,5,31
18,19,"AT","Austria","Institute of Science and Technology Austria",1499119,47.33333,13.33333,2016-07-01,2021-06-30,"SIGNED",48.309852,16.259696,2016,7,1,2021,6,30
19,20,"AT","Austria","TECHNISCHE UNIVERSITAET WIEN",1500000,47.33333,13.33333,2016-04-01,2021-03-31,"SIGNED",48.1986546,16.3684626,2016,4,1,2021,3,31
20,21,"AT","Austria","RIKA INNOVATIVE OFENTECHNIK GMBH",1691400,47.33333,13.33333,2016-02-01,2018-01-31,"SIGNED",47.9998865,14.2133432,2016,2,1,2018,1,31
21,22,"AT","Austria","OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN",2496525,47.33333,13.33333,2017-09-01,2022-08-31,"SIGNED",48.2088405,16.3771845,2017,9,1,2022,8,31
22,23,"AT","Austria","PARIS-LODRON-UNIVERSITAT SALZBURG",1327016.25,47.33333,13.33333,2015-07-01,2020-06-30,"SIGNED",47.7972296,13.0479826,2015,7,1,2020,6,30
23,24,"AT","Austria","OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN",1499556,47.33333,13.33333,2018-04-01,2023-03-31,"SIGNED",48.2088405,16.3771845,2018,4,1,2023,3,31
24,25,"AT","Austria","AVL LIST GMBH",41183158.75,47.33333,13.33333,2018-05-01,2021-04-30,"SIGNED",47.33333,13.33333,2018,5,1,2021,4,30
25,26,"AT","Austria","INSTITUT FUER MOLEKULARE BIOTECHNOLOGIE GMBH",1999530,47.33333,13.33333,2016-07-01,2021-06-30,"SIGNED",47.33333,13.33333,2016,7,1,2021,6,30
26,27,"AT","Austria","VILLINGER GMBH",985000,47.33333,13.33333,2017-01-01,2020-12-31,"SIGNED",47.1570951,11.3658636,2017,1,1,2020,12,31
27,28,"AT","Austria","FRAUSCHER SENSORTECHNIK GMBH",71429,47.33333,13.33333,2014-10-01,2015-03-31,"CLOSED",47.33333,13.33333,2014,10,1,2015,3,31
28,29,"AT","Austria","TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH",4868890,47.33333,13.33333,2018-01-01,2020-12-31,"SIGNED",46.615451,13.844114,2018,1,1,2020,12,31
29,30,"AT","Austria","SCHIEBEL ELEKTRONISCHE GERAETE GMBH",71429,47.33333,13.33333,2015-07-01,2015-12-31,"SIGNED",47.33333,13.33333,2015,7,1,2015,12,31
30,31,"AT","Austria","ZENTRUM FUR SOZIALE INNOVATION GMBH",2249262.5,47.33333,13.33333,2018-01-01,2020-12-31,"SIGNED",47.33333,13.33333,2018,1,1,2020,12,31
31,32,"AT","Austria","VETERINAERMEDIZINISCHE UNIVERSITAET WIEN",178156.8,47.33333,13.33333,2015-04-01,2017-03-31,"SIGNED",48.2544223,16.4316619,2015,4,1,2017,3,31
32,33,"AT","Austria","TAMIRNA GMBH",71429,47.33333,13.33333,2015-07-01,2015-12-31,"SIGNED",47.33333,13.33333,2015,7,1,2015,12,31
33,34,"AT","Austria","THE ANTIBODY LAB GMBH",71429,47.33333,13.33333,2015-07-01,2015-10-31,"SIGNED",47.33333,13.33333,2015,7,1,2015,10,31
34,35,"AT","Austria","AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH",6396305,47.33333,13.33333,2018-01-01,2021-12-31,"SIGNED",47.9777244,16.5083475,2018,1,1,2021,12,31
35,36,"AT","Austria","FORSCHUNGSINSTITUT FUR MOLEKULARE PATHOLOGIE GESELLSCHAFT MBH",2500000,47.33333,13.33333,2018-01-01,2022-12-31,"SIGNED",48.189414,16.402834,2018,1,1,2022,12,31
36,37,"AT","Austria","UNIVERSITAET INNSBRUCK",1449000,47.33333,13.33333,2017-03-01,2022-02-28,"SIGNED",47.2633542,11.3838006,2017,3,1,2022,2,28
37,38,"AT","Austria","E7 ENERGIE MARKT ANALYSE",1603718.75,47.33333,13.33333,2017-06-01,2020-05-31,"SIGNED",48.224105,16.3973899,2017,6,1,2020,5,31
38,39,"AT","Austria","WIRTSCHAFTSKAMMER OSTERREICH",304461.88,47.33333,13.33333,2017-01-01,2018-12-31,"SIGNED",47.33333,13.33333,2017,1,1,2018,12,31
39,40,"AT","Austria","AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH",6126698.75,47.33333,13.33333,2015-05-01,2018-04-30,"SIGNED",47.9777244,16.5083475,2015,5,1,2018,4,30
40,41,"AT","Austria","CEMM - FORSCHUNGSZENTRUM FUER MOLEKULARE MEDIZIN GMBH",1701011,47.33333,13.33333,2016-04-01,2021-03-31,"SIGNED",48.219497,16.349544,2016,4,1,2021,3,31
41,42,"AT","Austria","TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH",3891263.75,47.33333,13.33333,2017-01-01,2019-12-31,"SIGNED",46.615451,13.844114,2017,1,1,2019,12,31
42,43,"AT","Austria","INSTITUT FUER HOEHERE STUDIEN - INSTITUTE FOR ADVANCED STUDIES",1994954.44,47.33333,13.33333,2017-05-01,2021-04-30,"SIGNED",48.2097034,16.347588,2017,5,1,2021,4,30
43,44,"AT","Austria","TECHNISCHE UNIVERSITAET WIEN",1997202.49,47.33333,13.33333,2018-01-01,2022-12-31,"SIGNED",48.1986546,16.3684626,2018,1,1,2022,12,31
44,45,"AT","Austria","NEXTSENSE GMBH",71429,47.33333,13.33333,2015-07-01,2015-12-31,"SIGNED",47.0436863,15.3960705,2015,7,1,2015,12,31
45,46,"AT","Austria","UNIVERSITAT WIEN",178156.8,47.33333,13.33333,2017-10-01,2019-09-30,"SIGNED",48.2131855,16.3600504,2017,10,1,2019,9,30
46,47,"AT","Austria","Institute of Science and Technology Austria",1991564,47.33333,13.33333,2018-04-01,2023-03-31,"SIGNED",48.309852,16.259696,2018,4,1,2023,3,31
47,48,"AT","Austria","BRI.TECH GMBH",71429,47.33333,13.33333,2017-03-01,2017-06-30,"SIGNED",47.33333,13.33333,2017,3,1,2017,6,30
48,49,"AT","Austria","OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN",178156.8,47.33333,13.33333,2018-04-01,2020-03-31,"SIGNED",48.2088405,16.3771845,2018,4,1,2020,3,31
49,50,"AT","Austria","UNIVERSITAET INNSBRUCK",166156.8,47.33333,13.33333,2018-01-01,2019-12-31,"SIGNED",47.2633542,11.3838006,2018,1,1,2019,12,31
50,51,"AT","Austria","UNIVERSITAT WIEN",166156.8,47.33333,13.33333,2015-07-01,2017-06-30,"TERMINATED",48.2131855,16.3600504,2015,7,1,2017,6,30
51,52,"AT","Austria","UNIVERSITAET INNSBRUCK",2767565,47.33333,13.33333,2015-02-01,2018-01-31,"SIGNED",47.2633542,11.3838006,2015,2,1,2018,1,31
52,53,"AT","Austria","MONTANUNIVERSITAT LEOBEN",1373637.5,47.33333,13.33333,2015-06-01,2018-05-31,"SIGNED",47.3847372,15.0930201,2015,6,1,2018,5,31
53,54,"AT","Austria","UNIVERSITAT WIEN",2155285,47.33333,13.33333,2015-06-01,2020-05-31,"SIGNED",48.2131855,16.3600504,2015,6,1,2020,5,31
54,55,"AT","Austria","AVL LIST GMBH",9077497.5,47.33333,13.33333,2017-10-01,2020-09-30,"SIGNED",47.33333,13.33333,2017,10,1,2020,9,30
55,56,"AT","Austria","FORSCHUNGSINSTITUT FUR MOLEKULARE PATHOLOGIE GESELLSCHAFT MBH",178156.8,47.33333,13.33333,2016-03-01,2018-02-28,"CLOSED",48.189414,16.402834,2016,3,1,2018,2,28
56,57,"AT","Austria","OSTERREICHISCHE ENERGIEAGENTUR AUSTRIAN ENERGY AGENCY",1540713.75,47.33333,13.33333,2015-01-01,2017-08-31,"CLOSED",48.1950429,16.3368038,2015,1,1,2017,8,31
57,58,"AT","Austria","Institute of Science and Technology Austria",8789760,47.33333,13.33333,2015-10-01,2020-09-30,"SIGNED",48.309852,16.259696,2015,10,1,2020,9,30
58,59,"AT","Austria","UNIVERSITAT WIEN",166156.8,47.33333,13.33333,2015-05-16,2017-05-15,"SIGNED",48.2131855,16.3600504,2015,5,16,2017,5,15
59,60,"AT","Austria","UNIVERSITAET GRAZ",178156.8,47.33333,13.33333,2015-09-01,2017-08-31,"SIGNED",47.0777872,15.4499126,2015,9,1,2017,8,31
60,61,"AT","Austria","Institute of Science and Technology Austria",178156.8,47.33333,13.33333,2017-03-01,2019-02-28,"SIGNED",48.309852,16.259696,2017,3,1,2019,2,28
61,62,"AT","Austria","INSTITUT FUER HOEHERE STUDIEN - INSTITUTE FOR ADVANCED STUDIES",166156.8,47.33333,13.33333,2016-02-01,2018-01-31,"TERMINATED",48.2097034,16.347588,2016,2,1,2018,1,31
62,63,"AT","Austria","UNIVERSITAT WIEN",178156.8,47.33333,13.33333,2015-10-01,2017-09-30,"SIGNED",48.2131855,16.3600504,2015,10,1,2017,9,30
63,64,"AT","Austria","FORSCHUNGSINSTITUT FUR MOLEKULARE PATHOLOGIE GESELLSCHAFT MBH",2325659,47.33333,13.33333,2018-01-01,2022-12-31,"SIGNED",48.189414,16.402834,2018,1,1,2022,12,31
64,65,"AT","Austria","UNIVERSITAET INNSBRUCK",8220716.01,47.33333,13.33333,2016-01-01,2019-06-30,"SIGNED",47.2633542,11.3838006,2016,1,1,2019,6,30
65,66,"AT","Austria","UNIVERSITAT WIEN",166156.8,47.33333,13.33333,2018-09-01,2020-08-31,"SIGNED",48.2131855,16.3600504,2018,9,1,2020,8,31
66,67,"AT","Austria","TECHNISCHE UNIVERSITAET GRAZ",1473525,47.33333,13.33333,2015-06-01,2020-05-31,"SIGNED",47.0691371,15.4503154,2015,6,1,2020,5,31
67,68,"AT","Austria","TECHNISCHE UNIVERSITAET WIEN",149850,47.33333,13.33333,2016-10-01,2018-03-31,"SIGNED",48.1986546,16.3684626,2016,10,1,2018,3,31
68,69,"AT","Austria","FORSCHUNGSINSTITUT FUR MOLEKULARE PATHOLOGIE GESELLSCHAFT MBH",2499299,47.33333,13.33333,2016-10-01,2021-09-30,"SIGNED",48.189414,16.402834,2016,10,1,2021,9,30
69,70,"AT","Austria","EQUALIZENT SCHULUNGS UND BERATUNGS GMBH",71429,47.33333,13.33333,2017-02-01,2017-07-31,"SIGNED",48.2238209,16.3732765,2017,2,1,2017,7,31
70,71,"AT","Austria","OSTERREICHISCHE ENERGIEAGENTUR AUSTRIAN ENERGY AGENCY",1997987.5,47.33333,13.33333,2016-04-01,2019-03-31,"SIGNED",48.1950429,16.3368038,2016,4,1,2019,3,31
71,72,"AT","Austria","GREGOR-MENDEL-INSTITUT FÜR MOLEKULARE PFLANZENBIOLOGIE GMBH",1499988.99,47.33333,13.33333,2015-07-01,2020-06-30,"SIGNED",48.1894048,16.4019126,2015,7,1,2020,6,30
72,73,"AT","Austria","VETERINAERMEDIZINISCHE UNIVERSITAET WIEN",2497520,47.33333,13.33333,2016-09-01,2021-08-31,"SIGNED",48.2544223,16.4316619,2016,9,1,2021,8,31
73,74,"AT","Austria","UNIVERSITAT WIEN",166156.8,47.33333,13.33333,2018-09-01,2020-08-31,"SIGNED",48.2131855,16.3600504,2018,9,1,2020,8,31
