,Unnamed: 0,coordinatorCountry,countryName,coordinator,totalCost,latitude,longitude,startDate,endDate,status,uni_lat,uni_lng
0,1,AI,Anguilla,OFFSHORE NAVIGATION LIMITED,71429.0,18.21667,-63.05,2016-08-01,2016-12-31,SIGNED,18.21667,-63.05
1,2,AM,Armenia,SMALL AND MEDIUM ENTREPRENEURSHIP DEVELOPMENT NATIONAL CENTER OF ARMENIA FUND,15927.5,40.0,45.0,2017-01-01,2018-12-31,SIGNED,40.069099,45.038189
2,3,AM,Armenia,SMALL AND MEDIUM ENTREPRENEURSHIP DEVELOPMENT NATIONAL CENTER OF ARMENIA FUND,9352.5,40.0,45.0,2016-01-01,2016-12-31,SIGNED,40.069099,45.038189
3,4,AT,Austria,ZENTRUM FUR SOZIALE INNOVATION GMBH,2511450.0,47.33333,13.333329999999998,2018-01-01,2020-12-31,SIGNED,51.4910721,7.5006235
4,5,AT,Austria,ERSO TECHNOLOGY GMBH,71429.0,47.33333,13.333329999999998,2017-02-01,2017-04-30,SIGNED,47.33333,13.333329999999998
5,6,AT,Austria,AIT AUSTRIAN INSTITUTE OF TECHNOLOGY GMBH,8381952.5,47.33333,13.333329999999998,2015-02-01,2018-07-31,SIGNED,47.9777244,16.5083475
6,7,AT,Austria,OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN,178156.8,47.33333,13.333329999999998,2018-09-01,2020-08-31,SIGNED,48.2088405,16.3771845
7,8,AT,Austria,Sign time GmbH,1563372.5,47.33333,13.333329999999998,2017-09-01,2019-08-31,SIGNED,48.2174861,16.3693019
8,9,AT,Austria,JOANNEUM RESEARCH FORSCHUNGSGESELLSCHAFT MBH,7688539.33,47.33333,13.333329999999998,2015-02-01,2019-07-31,SIGNED,47.0739965,15.4549304
9,10,AT,Austria,UNIVERSITAT WIEN,243208.8,47.33333,13.333329999999998,2016-06-20,2019-06-19,SIGNED,48.21318549999999,16.3600504
10,11,AT,Austria,UNIVERSITAET KLAGENFURT,2711052.5,47.33333,13.333329999999998,2016-03-01,2019-02-28,SIGNED,46.616079,14.2652899
11,12,AT,Austria,MEDIZINISCHE UNIVERSITAET WIEN,166156.8,47.33333,13.333329999999998,2016-04-01,2018-03-31,TERMINATED,48.2196989,16.3515215
12,13,AT,Austria,UNIVERSITAET FUER BODENKULTUR WIEN,1107375.0,47.33333,13.333329999999998,2015-03-01,2018-05-31,SIGNED,48.2365448,16.337579
13,14,AT,Austria,Institute of Science and Technology Austria,149830.0,47.33333,13.333329999999998,2017-07-01,2018-12-31,SIGNED,48.309852,16.259696
14,15,AT,Austria,TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH,5616543.75,47.33333,13.333329999999998,2017-01-01,2020-12-31,SIGNED,46.615451,13.844114
15,16,AT,Austria,SYNYO GmbH,1492370.0,47.33333,13.333329999999998,2015-09-01,2017-08-31,SIGNED,47.33333,13.333329999999998
16,17,AT,Austria,Institute of Science and Technology Austria,1500000.0,47.33333,13.333329999999998,2015-03-01,2020-02-29,SIGNED,48.309852,16.259696
17,18,AT,Austria,OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN,166156.8,47.33333,13.333329999999998,2015-06-01,2017-05-31,SIGNED,48.2088405,16.3771845
18,19,AT,Austria,Institute of Science and Technology Austria,1499119.0,47.33333,13.333329999999998,2016-07-01,2021-06-30,SIGNED,48.309852,16.259696
19,20,AT,Austria,TECHNISCHE UNIVERSITAET WIEN,1500000.0,47.33333,13.333329999999998,2016-04-01,2021-03-31,SIGNED,48.1986546,16.3684626
20,21,AT,Austria,RIKA INNOVATIVE OFENTECHNIK GMBH,1691400.0,47.33333,13.333329999999998,2016-02-01,2018-01-31,SIGNED,47.9998865,14.2133432
21,22,AT,Austria,OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN,2496525.0,47.33333,13.333329999999998,2017-09-01,2022-08-31,SIGNED,48.2088405,16.3771845
22,23,AT,Austria,PARIS-LODRON-UNIVERSITAT SALZBURG,1327016.25,47.33333,13.333329999999998,2015-07-01,2020-06-30,SIGNED,47.79722959999999,13.0479826
23,24,AT,Austria,OESTERREICHISCHE AKADEMIE DER WISSENSCHAFTEN,1499556.0,47.33333,13.333329999999998,2018-04-01,2023-03-31,SIGNED,48.2088405,16.3771845
24,25,AT,Austria,AVL LIST GMBH,41183158.75,47.33333,13.333329999999998,2018-05-01,2021-04-30,SIGNED,47.33333,13.333329999999998
25,26,AT,Austria,INSTITUT FUER MOLEKULARE BIOTECHNOLOGIE GMBH,1999530.0,47.33333,13.333329999999998,2016-07-01,2021-06-30,SIGNED,47.33333,13.333329999999998
26,27,AT,Austria,VILLINGER GMBH,985000.0,47.33333,13.333329999999998,2017-01-01,2020-12-31,SIGNED,47.1570951,11.3658636
27,28,AT,Austria,FRAUSCHER SENSORTECHNIK GMBH,71429.0,47.33333,13.333329999999998,2014-10-01,2015-03-31,CLOSED,47.33333,13.333329999999998
28,29,AT,Austria,TECHNIKON FORSCHUNGS- UND PLANUNGSGESELLSCHAFT MBH,4868890.0,47.33333,13.333329999999998,2018-01-01,2020-12-31,SIGNED,46.615451,13.844114
29,30,AT,Austria,SCHIEBEL ELEKTRONISCHE GERAETE GMBH,71429.0,47.33333,13.333329999999998,2015-07-01,2015-12-31,SIGNED,47.33333,13.333329999999998
